artist_id,name,genres
5xkAtLTf309LAGZTbvULBn,Ruel,australian alternative pop/dance pop/electropop/pop/post-teen pop
7mA4vx3PZgpnmvmvYblrTW,Halle Abadi,
61S5H9Lxn1PDUvu1TV0kCX,Knox,
5LGo1zHegJTWzqVXgeNplt,Ryan Mack,alt z/irish pop/sad rap
1dUrqVHcv2FCXxlIqzIbiG,NERIAH,alt z
3ApUX1o6oSz321MMECyIYd,Quinn XCII,electropop/indie pop rap/pop/pop rap
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,alt z/electropop/pop/tropical house
3V0ZQW0dNuVaFtbVYgSI24,Claire Rosinkranz,indie pop/modern indie pop/pop
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,electropop/pop
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,alt z/nz pop/pop
2kCO8LXN1usaOPL3iEE28I,Tai Verdes,modern indie pop/pop
26cMerAxjx9GedFt0lMDjm,Bella Poarch,modern alternative pop
5RJFJWYgtgWktosLrUDzff,Griff,dance pop/pop/uk pop
4TrraAsitQKl821DQY42cZ,Sigrid,norwegian pop
0ekCwZGQUkAISV1h48jlHn,Rachel Grae,alt z
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,british indie rock/modern rock/rock
4NZvixzsSefsNiIqXn0NDe,Maggie Rogers,indie pop/pop
42FzVuyJH8YbkhzWSR2n8E,almost monday,modern indie pop
76OGIUhWyFyKOvhRuueDa7,Brooke Alexx,alt z
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,alt z/indie pop/pop
61shKG2hWuRTW2PEAPk7fo,Amelia Moore,alt z
7zkwepHPyac6tCYl0fL0co,ASTN,bedroom soul/chill r&b/indie r&b/pop
1dy5WNgIKQU6ezkpZs4y8z,ROLE MODEL,bedroom pop/pop
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,indie pop/pop/springfield mo indie
4wrzxtBZw20ufDstKyTnnP,Rachel Chinouriri,uk pop
19mMHUyLK5uYyg9D14yJP6,Enisa,
55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,pop/post-teen pop
3AVfmawzu83sp94QW7CEGm,Astrid S,alt z/dance pop/norwegian pop/pop/tropical house
5jAMCwdNHWr7JThxtMuEyy,NOTD,alt z/dance pop/edm/electropop/pop/pop dance/pop edm/post-teen pop/tropical house
5pWUVnrc1y0FpWZ6VCy0Hg,kenzie,social media pop
5MjcGshMggPgIHinIUDaX0,LØLØ,alt z/canadian pop/pop punk
3LjhVl7GzYsza1biQjTpaN,Hayley Kiyoko,alt z/dance pop/electropop/indie pop/indie poptimism/pop/post-teen pop
25jJ6vyXwTRa0e6XCcdR6U,Ari Abdul,pop
3MNLhvqJkWsO6tcjY9ps62,Maude Latour,alt z/indie pop/nyc pop
6xdRb2GypJ7DqnWAI2mHGn,MUNA,electropop/indie pop/indie poptimism/la pop/metropopolis/pop
6C7CCNJVIGEla8AI1LuBxI,Katherine Li,alt z
23E65IfLBGQv0FBrMwCcG2,Peter McPoland,indie pop
4pfy05cNNTacuOQ6SiSu4v,Lyn Lapid,alt z/gen z singer-songwriter/indie pop
006j2rer9tZJCYniu7SaWS,Peach PRC,alt z
7dJCdUO0l0K2WXzrzjYpmC,Caity Baser,uk pop
4yYvor6Rq4fG82J1L47DYp,MICHELLE,bedroom pop/indie pop/indie r&b
7eCvJy2JvEw2s087UHlJdx,emma løv,
00TKPo9MxwZ0j4ooveIxWZ,Loote,alt z/dance pop/electropop/nyc pop/pop/pop dance/pop edm/post-teen pop/tropical house
0p9SPN0Vhv6aDRZCz4W13E,JORDY,alt z/gen z singer-songwriter
0K87f3owemzI8NUCoEIXOB,vaultboy,pop
3qDMrpZHtZEtVl5i1l7hP3,Nightly,electropop/indie poptimism/pop
7blXVKBSxdFZsIqlhdViKc,Valley,electropop/indietronica/pop/post-teen pop
4JnJjqxsTp8E5rZsyITf63,Jade LeMac,alt z
74CcYmmNeHKe5PrZaISk8e,Hope Tala,alternative r&b/chill r&b/indie r&b/indie soul
1BEUkE2CSUgHTLSBMZdnFB,Mae Muller,uk contemporary r&b/uk pop
5KsRA81UaMVKvLNiwDySfp,Jonah Kagen,alt z
6P5NO5hzJbuOqSdyPB7SJM,Ashe,alt z/pop/post-teen pop
7nnTzZ5tZrPx14iDnmjksU,Zolita,alt z/electropop/indie pop/indie poptimism/pop/post-teen pop
2gxdQj1Dy77p45uTuve030,Max Drazen,
3M8UUCqb0mIEn5S2lO13yv,Forrest Nolan,modern indie pop
4LOM7NzyrZvlGSYPFDsnTk,Dylan,alt z/pop/uk pop
2FovgCfOwN9iqbkCBlKFdT,Ellise,alt z/electropop/indie poptimism/pop/social media pop/viral rap
